x,y,Erro x,Erro y
3.5719574835033,0.016672915416917,0,0.005
3.62274107678464,0.029844031193761,0,0.01
3.68149182663467,0.068558788242352,0,0.007
3.71770020995801,0.066764772045591,0,0.01
3.73916466706659,0.057935287942412,0,0.01
3.7682775944811,0.089627699460108,0.02,0.006
3.84968318836233,0.063564787042592,0.04,0.006
3.94661067786443,0.107972780443911,0.04,0.012
4.04863714757049,0.112728704259148,0.04,0.008
4.16524820035993,0.132009223155369,0.08,0.015
4.24808788242352,0.138544166166767,0.02,0.015
4.375599880024,0.145480278944211,0.1,0.017
4.671725029994,0.127598230353929,0.23,0.011
